Gene stable ID,Gene name,NCBI gene ID
ENSG00000005238,FAM214B,80256
ENSG00000008513,ST3GAL1,6482
ENSG00000014164,ZC3H3,23144
ENSG00000022567,SLC45A4,57210
ENSG00000023318,ERP44,23071
ENSG00000042832,TG,7038
ENSG00000044459,CNTLN,54875
ENSG00000048828,FAM120A,23196
ENSG00000059769,DNAJC25,548645
ENSG00000064313,TAF2,6873
ENSG00000066697,MSANTD3,91283
ENSG00000066827,ZFAT,57623
ENSG00000070061,ELP1,8518
ENSG00000070214,SLC44A1,23446
ENSG00000070610,GBA2,57704
ENSG00000071894,CPSF1,29894
ENSG00000080298,RFX3,5991
ENSG00000080503,SMARCA2,6595
ENSG00000080608,PUM3,9933
ENSG00000081377,CDC14B,8555
ENSG00000081386,ZNF510,22869
ENSG00000083223,TUT7,79670
ENSG00000086061,DNAJA1,3301
ENSG00000086062,B4GALT1,2683
ENSG00000086065,CHMP5,51510
ENSG00000086102,NFX1,4799
ENSG00000090054,SPTLC1,10558
ENSG00000095209,TMEM38B,55151
ENSG00000095380,NANS,54187
ENSG00000095383,TBC1D2,55357
ENSG00000096872,IFT74,80173
ENSG00000096968,JAK2,3717
ENSG00000099139,PCSK5,5125
ENSG00000099219,ERMP1,79956
ENSG00000099810,MTAP,4507
ENSG00000104408,EIF3E,3646
ENSG00000104412,EMC2,9694
ENSG00000104419,NDRG1,10397
ENSG00000104447,TRPS1,7227
ENSG00000104472,CHRAC1,54108
ENSG00000104518,GSDMD,79792
ENSG00000104522,TSTA3,7264
ENSG00000104524,PYCR3,65263
ENSG00000104529,EEF1D,1936
ENSG00000104549,SQLE,6713
ENSG00000105339,DENND3,22898
ENSG00000106692,FKTN,2218
ENSG00000106701,FSD1L,83856
ENSG00000106714,CNTNAP3,79937
ENSG00000106723,SPIN1,10927
ENSG00000106733,NMRK1,54981
ENSG00000106771,TMEM245,23731
ENSG00000106772,PRUNE2,158471
ENSG00000106785,TRIM14,9830
ENSG00000106789,CORO2A,7464
ENSG00000106799,TGFBR1,7046
ENSG00000106803,SEC61B,10952
ENSG00000106829,TLE4,7091
ENSG00000106853,PTGR1,22949
ENSG00000106993,CDC37L1,55664
ENSG00000107020,PLGRKT,55848
ENSG00000107036,RIC1,57589
ENSG00000107077,KDM4C,23081
ENSG00000107099,DOCK8,81704
ENSG00000107104,KANK1,23189
ENSG00000107140,TESK1,7016
ENSG00000107175,CREB3,10488
ENSG00000107185,RGP1,9827
ENSG00000107201,DDX58,23586
ENSG00000107242,PIP5K1B,8395
ENSG00000107262,BAG1,573
ENSG00000107338,SHB,6461
ENSG00000107341,UBE2R2,54926
ENSG00000107362,ABHD17B,51104
ENSG00000107371,EXOSC3,51010
ENSG00000107372,ZFAND5,7763
ENSG00000119121,TRPM6,140803
ENSG00000119138,KLF9,687
ENSG00000119139,TJP2,9414
ENSG00000119318,RAD23B,5887
ENSG00000119326,CTNNAL1,8727
ENSG00000119328,ABITRAM,54942
ENSG00000119508,NR4A3,8013
ENSG00000119509,INVS,27130
ENSG00000119514,GALNT12,79695
ENSG00000119523,ALG2,85365
ENSG00000120158,RCL1,10171
ENSG00000120159,CAAP1,79886
ENSG00000120162,MOB3B,79817
ENSG00000120217,CD274,29126
ENSG00000120526,NUDCD1,84955
ENSG00000120533,ENY2,56943
ENSG00000122692,SMU1,55234
ENSG00000122694,GLIPR2,152007
ENSG00000122696,SLC25A51,92014
ENSG00000122705,CLTA,1211
ENSG00000122707,RECK,8434
ENSG00000122729,ACO1,48
ENSG00000122741,DCAF10,79269
ENSG00000123908,AGO2,27161
ENSG00000123975,CKS2,1164
ENSG00000127080,IPPK,64768
ENSG00000127081,ZNF484,83744
ENSG00000127084,FGD3,89846
ENSG00000129292,PHF20L1,51105
ENSG00000129295,LRRC6,23639
ENSG00000130193,THEM6,51337
ENSG00000130222,GADD45G,10912
ENSG00000130956,HABP4,22927
ENSG00000130958,SLC35D2,11046
ENSG00000131669,NINJ1,4814
ENSG00000132294,EFR3A,23167
ENSG00000134996,OSTF1,26578
ENSG00000135002,RFK,55312
ENSG00000135018,UBQLN1,29979
ENSG00000135040,NAA35,60560
ENSG00000135045,C9orf40,55071
ENSG00000135046,ANXA1,301
ENSG00000135047,CTSL,1514
ENSG00000135048,CEMIP2,23670
ENSG00000135049,AGTPBP1,23287
ENSG00000135052,GOLM1,51280
ENSG00000135069,PSAT1,29968
ENSG00000135070,ISCA1,81689
ENSG00000136783,NIPSNAP3A,25934
ENSG00000136810,TXN,7295
ENSG00000136813,ECPAS,23392
ENSG00000136824,SMC2,10592
ENSG00000136826,KLF4,9314
ENSG00000136842,TMOD1,7111
ENSG00000136870,ZNF189,7743
ENSG00000136872,ALDOB,229
ENSG00000136874,STX17,55014
ENSG00000136891,TEX10,54881
ENSG00000136897,MRPL50,54534
ENSG00000136925,TSTD2,158427
ENSG00000136929,HEMGN,55363
ENSG00000136932,TRMO,51531
ENSG00000136936,XPA,7507
ENSG00000136937,NCBP1,4686
ENSG00000136938,ANP32B,10541
ENSG00000136960,ENPP2,5168
ENSG00000136986,DERL1,79139
ENSG00000136997,MYC,4609
ENSG00000136999,CCN3,4856
ENSG00000137038,DMAC1,90871
ENSG00000137040,RANBP6,26953
ENSG00000137054,POLR1E,64425
ENSG00000137055,PLAA,9373
ENSG00000137070,IL11RA,3590
ENSG00000137073,UBAP2,55833
ENSG00000137074,APTX,54840
ENSG00000137075,RNF38,152006
ENSG00000137076,TLN1,7094
ENSG00000137077,CCL21,6366
ENSG00000137078,SIT1,27240
ENSG00000137094,DNAJB5,25822
ENSG00000137098,SPAG8,26206
ENSG00000137100,DCTN3,11258
ENSG00000137101,CD72,971
ENSG00000137103,TMEM8B,51754
ENSG00000137106,GRHPR,9380
ENSG00000137124,ALDH1B1,219
ENSG00000137133,HINT2,84681
ENSG00000137135,ARHGEF39,84904
ENSG00000137145,DENND4C,55667
ENSG00000137154,RPS6,6194
ENSG00000147654,EBAG9,9166
ENSG00000147677,EIF3H,8667
ENSG00000147679,UTP23,84294
ENSG00000147684,NDUFB9,4715
ENSG00000147687,TATDN1,83940
ENSG00000147789,ZNF7,7553
ENSG00000147804,SLC39A4,55630
ENSG00000147813,NAPRT,93100
ENSG00000147852,VLDLR,7436
ENSG00000147853,AK3,50808
ENSG00000147854,UHRF2,115426
ENSG00000147872,PLIN2,123
ENSG00000147874,HAUS6,54801
ENSG00000147883,CDKN2B,1030
ENSG00000147889,CDKN2A,1029
ENSG00000147894,C9orf72,203228
ENSG00000147905,ZCCHC7,84186
ENSG00000147912,FBXO10,26267
ENSG00000147955,SIGMAR1,10280
ENSG00000147996,CBWD5,220869
ENSG00000148019,CEP78,84131
ENSG00000148057,IDNK,414328
ENSG00000148090,AUH,549
ENSG00000148110,MFSD14B,84641
ENSG00000148120,AOPEP,84909
ENSG00000153310,FAM49B,51571
ENSG00000153317,ASAP1,50807
ENSG00000154330,PGM5,5239
ENSG00000155158,TTC39B,158219
ENSG00000155621,C9orf85,138241
ENSG00000155792,DEPTOR,64798
ENSG00000155827,RNF20,56254
ENSG00000155876,RRAGA,10670
ENSG00000155926,SLA,6503
ENSG00000156017,CARNMT1,138199
ENSG00000156052,GNAQ,2776
ENSG00000156345,CDK20,23552
ENSG00000156787,TBC1D31,93594
ENSG00000156795,WDYHV1,55093
ENSG00000156802,ATAD2,29028
ENSG00000156804,FBXO32,114907
ENSG00000156831,NSMCE2,286053
ENSG00000157303,SUSD3,203328
ENSG00000158079,PTPDC1,138639
ENSG00000158106,RHPN1,114822
ENSG00000158122,PRXL2C,195827
ENSG00000158169,FANCC,2176
ENSG00000159884,CCDC107,203260
ENSG00000159899,NPR2,4882
ENSG00000159921,GNE,10020
ENSG00000160932,LY6E,4061
