Gene stable ID,Gene name,NCBI gene ID
ENSG00000004700,RECQL,5965
ENSG00000005175,RPAP3,79657
ENSG00000008394,MGST1,4257
ENSG00000008405,CRY1,1407
ENSG00000011465,DCN,1634
ENSG00000012822,CALCOCO1,57658
ENSG00000013503,POLR3B,55703
ENSG00000013573,DDX11,1663
ENSG00000015153,YAF2,10138
ENSG00000023697,DERA,51071
ENSG00000023734,STRAP,11171
ENSG00000028203,VEZT,55591
ENSG00000037897,METTL1,4234
ENSG00000050405,LIMA1,51474
ENSG00000050426,LETMD1,25875
ENSG00000050438,SLC4A8,9498
ENSG00000057294,PKP2,5318
ENSG00000057704,TMCC3,57458
ENSG00000058272,PPP1R12A,4659
ENSG00000059758,CDK17,5128
ENSG00000060982,BCAT1,586
ENSG00000061273,HDAC7,51564
ENSG00000061794,MRPS35,60488
ENSG00000061987,MON2,23041
ENSG00000062485,CS,1431
ENSG00000063046,EIF4B,1975
ENSG00000064102,INTS13,55726
ENSG00000064115,TM7SF3,51768
ENSG00000064763,FAR2,55711
ENSG00000065357,DGKA,1606
ENSG00000066084,DIP2B,57609
ENSG00000066117,SMARCD1,6602
ENSG00000070961,ATP2B1,490
ENSG00000075089,ACTR6,64431
ENSG00000075188,NUP37,79023
ENSG00000075415,SLC25A3,5250
ENSG00000075856,SART3,9733
ENSG00000076067,RBMS2,5939
ENSG00000076108,BAZ2A,11176
ENSG00000076248,UNG,7374
ENSG00000076513,ANKRD13A,88455
ENSG00000076555,ACACB,32
ENSG00000079337,RAPGEF3,10411
ENSG00000079387,SENP1,29843
ENSG00000080371,RAB21,23011
ENSG00000084110,HAL,3034
ENSG00000084112,SSH1,54434
ENSG00000087448,KLHL42,57542
ENSG00000087470,DNM1L,10059
ENSG00000087502,ERGIC2,51290
ENSG00000090376,IRAK3,11213
ENSG00000090382,LYZ,4069
ENSG00000091039,OSBPL8,114882
ENSG00000092841,MYL6,4637
ENSG00000094914,AAAS,8086
ENSG00000094916,CBX5,23468
ENSG00000102189,EEA1,8411
ENSG00000110844,PRPF40B,25766
ENSG00000110851,PRDM4,11108
ENSG00000110876,SELPLG,6404
ENSG00000110880,CORO1C,23603
ENSG00000110888,CAPRIN2,65981
ENSG00000110906,KCTD10,83892
ENSG00000110911,SLC11A2,4891
ENSG00000110921,MVK,4598
ENSG00000110925,CSRNP2,81566
ENSG00000110934,BIN2,51411
ENSG00000110944,IL23A,51561
ENSG00000110955,ATP5F1B,506
ENSG00000110958,PTGES3,10728
ENSG00000111052,LIN7A,8825
ENSG00000111057,KRT18,3875
ENSG00000111077,TNS2,23371
ENSG00000111087,GLI1,2735
ENSG00000111110,PPM1H,57460
ENSG00000111142,METAP2,10988
ENSG00000111144,LTA4H,4048
ENSG00000111145,ELK3,2004
ENSG00000111199,TRPV4,59341
ENSG00000111229,ARPC3,10094
ENSG00000111231,GPN3,51184
ENSG00000111237,VPS29,51699
ENSG00000111245,MYL2,4633
ENSG00000111252,SH2B3,10019
ENSG00000111371,SLC38A1,81539
ENSG00000111424,VDR,7421
ENSG00000111481,COPZ1,22818
ENSG00000111490,TBC1D30,23329
ENSG00000111530,CAND1,55832
ENSG00000111537,IFNG,3458
ENSG00000111540,RAB5B,5869
ENSG00000111554,MDM1,56890
ENSG00000111581,NUP107,57122
ENSG00000111596,CNOT2,4848
ENSG00000111602,TIMELESS,8914
ENSG00000111605,CPSF6,11052
ENSG00000111615,KRR1,11103
ENSG00000111647,UHRF1BP1L,23074
ENSG00000111666,CHPT1,56994
ENSG00000111670,GNPTAB,79158
ENSG00000111696,NT5DC3,51559
ENSG00000111711,GOLT1B,51026
ENSG00000111716,LDHB,3945
ENSG00000111726,CMAS,55907
ENSG00000111727,HCFC2,29915
ENSG00000111731,C2CD5,9847
ENSG00000111785,RIC8B,55188
ENSG00000111790,FGFR1OP2,26127
ENSG00000118308,LRMP,4033
ENSG00000118596,SLC16A7,9194
ENSG00000118600,RXYLT1,10329
ENSG00000120798,NR2C1,7181
ENSG00000120800,UTP20,27340
ENSG00000120802,TMPO,7112
ENSG00000120805,ARL1,400
ENSG00000120832,MTERF2,80298
ENSG00000120833,SOCS2,8835
ENSG00000120837,NFYB,4801
ENSG00000120860,WASHC3,51019
ENSG00000120868,APAF1,317
ENSG00000121350,PYROXD1,79912
ENSG00000121749,TBC1D15,64786
ENSG00000122986,HVCN1,84329
ENSG00000123095,BHLHE41,79365
ENSG00000123104,ITPR2,3709
ENSG00000123106,CCDC91,55297
ENSG00000123268,ATF1,466
ENSG00000123297,TSFM,10102
ENSG00000123329,ARHGAP9,64333
ENSG00000123338,NCKAP1L,3071
ENSG00000123342,MMP19,4327
ENSG00000123349,PFDN5,5204
ENSG00000123352,SPATS2,65244
ENSG00000123353,ORMDL2,29095
ENSG00000123358,NR4A1,3164
ENSG00000123360,PDE1B,5153
ENSG00000123374,CDK2,1017
ENSG00000123384,LRP1,4035
ENSG00000123395,ATG101,60673
ENSG00000123405,NFE2,4778
ENSG00000123411,IKZF4,64375
ENSG00000123415,SMUG1,23583
ENSG00000123416,TUBA1B,10376
ENSG00000123427,EEF1AKMT3,25895
ENSG00000125084,WNT1,7471
ENSG00000127311,HELB,92797
ENSG00000127314,RAP1B,5908
ENSG00000127328,RAB3IP,117177
ENSG00000127334,DYRK2,8445
ENSG00000127337,YEATS4,8089
ENSG00000127720,METTL25,84190
ENSG00000129315,CCNT1,904
ENSG00000129317,PUS7L,83448
ENSG00000133639,BTG1,694
ENSG00000133641,C12orf29,91298
ENSG00000133687,TMTC1,83857
ENSG00000133703,KRAS,3845
ENSG00000133704,IPO8,10526
ENSG00000133773,CCDC59,29080
ENSG00000133858,ZFC3H1,196441
ENSG00000134283,PPHLN1,51535
ENSG00000134285,FKBP11,51303
ENSG00000134287,ARF3,377
ENSG00000134291,TMEM106C,79022
ENSG00000134294,SLC38A2,54407
ENSG00000134297,PLEKHA8P1,
ENSG00000134548,SPX,80763
ENSG00000135093,USP30,84749
ENSG00000135390,ATP5MC2,517
ENSG00000135392,DNAJC14,85406
ENSG00000135404,CD63,967
ENSG00000135407,AVIL,10677
ENSG00000135414,GDF11,10220
ENSG00000135423,GLS2,27165
ENSG00000135424,ITGA7,3679
ENSG00000135426,TESPA1,9840
ENSG00000135437,RDH5,5959
ENSG00000135439,AGAP2,116986
ENSG00000135441,BLOC1S1,2647
ENSG00000135446,CDK4,1019
ENSG00000135447,PPP1R1A,5502
ENSG00000135451,TROAP,10024
ENSG00000135452,TSPAN31,6302
ENSG00000135457,TFCP2,7024
ENSG00000135469,COQ10A,93058
ENSG00000135473,PAN2,9924
ENSG00000135476,ESPL1,9700
ENSG00000135480,KRT7,3855
ENSG00000135482,ZC3H10,84872
ENSG00000135486,HNRNPA1,3178
ENSG00000135503,ACVR1B,91
ENSG00000135506,OS9,10956
ENSG00000135519,KCNH3,23416
ENSG00000135643,KCNMB4,27345
ENSG00000135655,USP15,9958
ENSG00000135677,GNS,2799
ENSG00000135678,CPM,1368
ENSG00000135679,MDM2,4193
ENSG00000136003,ISCU,23479
ENSG00000136021,SCYL2,55681
ENSG00000136026,CKAP4,10970
ENSG00000136040,PLXNC1,10154
ENSG00000136044,APPL2,55198
ENSG00000136045,PWP1,11137
ENSG00000136048,DRAM1,55332
ENSG00000136051,WASHC4,23325
ENSG00000139116,KIF21A,55605
ENSG00000139117,CPNE8,144402
ENSG00000139131,YARS2,51067
ENSG00000139132,FGD4,121512
ENSG00000139133,ALG10,84920
ENSG00000139146,SINHCAF,58516
ENSG00000139154,AEBP2,121536
ENSG00000139160,ETFBKMT,254013
ENSG00000139163,ETNK1,55500
ENSG00000139168,ZCRB1,85437
ENSG00000139211,AMIGO2,347902
ENSG00000139218,SCAF11,9169
ENSG00000139233,LLPH,84298
ENSG00000139239,RPL14P1,
ENSG00000139266,MARCHF9,92979
ENSG00000139278,GLIPR1,11010
ENSG00000139289,PHLDA1,22822
ENSG00000139291,TMEM19,55266
ENSG00000139318,DUSP6,1848
ENSG00000139323,POC1B,282809
ENSG00000139324,TMTC3,160418
ENSG00000139329,LUM,4060
ENSG00000139343,SNRPF,6636
ENSG00000139344,AMDHD1,144193
ENSG00000139350,NEDD1,121441
ENSG00000139372,TDG,6996
ENSG00000139428,MMAB,326625
ENSG00000139433,GLTP,51228
ENSG00000139436,GIT2,9815
ENSG00000139437,TCHP,84260
ENSG00000139531,SUOX,6821
ENSG00000139537,CCDC65,85478
ENSG00000139546,TARBP2,6895
ENSG00000139547,RDH16,8608
ENSG00000139567,ACVRL1,94
ENSG00000139572,GPR84,53831
ENSG00000139574,NPFF,8620
ENSG00000139579,NABP2,79035
ENSG00000139613,SMARCC2,6601
ENSG00000139620,KANSL2,54934
ENSG00000139624,CERS5,91012
ENSG00000139625,MAP3K12,7786
ENSG00000139626,ITGB7,3695
ENSG00000139629,GALNT6,11226
ENSG00000139631,CSAD,51380
ENSG00000139636,LMBR1L,55716
ENSG00000139637,C12orf10,60314
ENSG00000139641,ESYT1,23344
ENSG00000139644,TMBIM6,7009
ENSG00000139645,ANKRD52,283373
ENSG00000139651,ZNF740,283337
ENSG00000151131,C12orf45,121053
ENSG00000151135,TMEM263,90488
ENSG00000151136,BTBD11,121551
ENSG00000151148,UBE3B,89910
ENSG00000151229,SLC2A13,114134
ENSG00000151233,GXYLT1,283464
ENSG00000151239,TWF1,5756
ENSG00000151491,EPS8,2059
ENSG00000151743,AMN1,196394
ENSG00000151746,BICD1,636
