Gene stable ID,Gene name,NCBI gene ID
ENSG00000002726,AOC1,26
ENSG00000002933,TMEM176A,55365
ENSG00000003987,MTMR7,9108
ENSG00000008853,RHOBTB2,23221
ENSG00000008988,RPS20,6224
ENSG00000009335,UBE3C,9690
ENSG00000012232,EXTL3,2137
ENSG00000013374,NUB1,51667
ENSG00000020181,ADGRA2,25960
ENSG00000023287,RB1CC1,9821
ENSG00000029534,ANK1,286
ENSG00000033050,ABCF2,10061
ENSG00000033100,CHPF2,54480
ENSG00000034677,RNF19A,25897
ENSG00000035681,NSMAF,8439
ENSG00000036448,MYOM2,9172
ENSG00000038945,MSR1,4481
ENSG00000040341,STAU2,27067
ENSG00000042980,ADAM28,10863
ENSG00000047249,ATP6V1H,51606
ENSG00000048392,RRM2B,50484
ENSG00000050327,ARHGEF5,7984
ENSG00000055118,KCNH2,3757
ENSG00000055130,CUL1,8454
ENSG00000055609,KMT2C,58508
ENSG00000066777,ARFGEF1,10565
ENSG00000066855,MTFR1,9650
ENSG00000067167,TRAM1,23471
ENSG00000070501,POLB,5423
ENSG00000070718,AP3M2,10947
ENSG00000070756,PABPC1,26986
ENSG00000076554,TPD52,7163
ENSG00000076641,PAG1,55824
ENSG00000077782,FGFR1,2260
ENSG00000078668,VDAC3,7419
ENSG00000078674,PCM1,5108
ENSG00000079459,FDFT1,2222
ENSG00000082014,SMARCD3,6604
ENSG00000083168,KAT6A,7994
ENSG00000085719,CPNE3,8895
ENSG00000085788,DDHD2,23259
ENSG00000092964,DPYSL2,1808
ENSG00000104205,SGK3,23678
ENSG00000104205,SGK3,100533105
ENSG00000104218,CSPP1,79848
ENSG00000104219,ZDHHC2,51201
ENSG00000104221,BRF2,55290
ENSG00000104228,TRIM35,23087
ENSG00000104231,ZFAND1,79752
ENSG00000104267,CA2,760
ENSG00000104299,INTS9,55756
ENSG00000104312,RIPK2,8767
ENSG00000104320,NBN,4683
ENSG00000104324,CPQ,10404
ENSG00000104325,DECR1,1666
ENSG00000104331,IMPAD1,54928
ENSG00000104341,LAPTM4B,55353
ENSG00000104343,UBE2W,55284
ENSG00000104356,POP1,10940
ENSG00000104361,NIPAL2,79815
ENSG00000104365,IKBKB,3551
ENSG00000104375,STK3,6788
ENSG00000104381,GDAP1,54332
ENSG00000104388,RAB2A,5862
ENSG00000104427,ZC2HC1A,51101
ENSG00000104442,ARMC1,55156
ENSG00000104450,SPAG1,6674
ENSG00000104490,NCALD,83988
ENSG00000104497,SNX16,64089
ENSG00000104517,UBR5,51366
ENSG00000104611,SH2D4A,63898
ENSG00000104613,INTS10,55174
ENSG00000104626,ERI1,90459
ENSG00000104635,SLC39A14,23516
ENSG00000104643,MTMR9,66036
ENSG00000104660,LEPROTL1,23484
ENSG00000104671,DCTN6,10671
ENSG00000104679,R3HCC1,203069
ENSG00000104687,GSR,2936
ENSG00000104689,TNFRSF10A,8797
ENSG00000104691,UBXN8,7993
ENSG00000104695,PPP2CB,5516
ENSG00000104714,ERICH1,157697
ENSG00000104728,ARHGEF10,9639
ENSG00000104738,MCM4,4173
ENSG00000104756,KCTD9,54793
ENSG00000104763,ASAH1,427
ENSG00000104765,BNIP3L,665
ENSG00000105982,RNF32,140545
ENSG00000105983,LMBR1,64327
ENSG00000105993,DNAJB6,10049
ENSG00000106123,EPHB6,2051
ENSG00000106144,CASP2,835
ENSG00000106462,EZH2,2146
ENSG00000106479,ZNF862,643641
ENSG00000106538,RARRES2,5919
ENSG00000106560,GIMAP2,26157
ENSG00000106565,TMEM176B,28959
ENSG00000106615,RHEB,6009
ENSG00000106617,PRKAG2,51422
ENSG00000117868,ESYT2,57488
ENSG00000120875,DUSP4,1846
ENSG00000120885,CLU,1191
ENSG00000120889,TNFRSF10B,8795
ENSG00000120896,SORBS3,10174
ENSG00000120899,PTK2B,2185
ENSG00000120910,PPP3CC,5533
ENSG00000120913,PDLIM2,64236
ENSG00000120915,EPHX2,2053
ENSG00000120925,RNF170,81790
ENSG00000120963,ZNF706,51123
ENSG00000120992,LYPLA1,10434
ENSG00000121022,COPS5,10987
ENSG00000121039,RDH10,157506
ENSG00000123119,NECAB1,64168
ENSG00000123124,WWP1,11059
ENSG00000126870,WDR60,55112
ENSG00000127399,LRRC61,65999
ENSG00000127589,TUBBP1,
ENSG00000129691,ASH2L,9070
ENSG00000129696,TTI2,80185
ENSG00000130227,XPO7,23039
ENSG00000131203,IDO1,3620
ENSG00000131931,THAP1,55145
ENSG00000132541,RIDA,10247
ENSG00000132549,VPS13B,157680
ENSG00000133561,GIMAP6,474344
ENSG00000133574,GIMAP4,55303
ENSG00000133612,AGAP3,116988
ENSG00000133619,KRBA1,84626
ENSG00000133624,ZNF767P,
ENSG00000133627,ACTR3B,57180
ENSG00000133731,IMPA1,3612
ENSG00000133740,E2F5,1875
ENSG00000133742,CA1,759
ENSG00000133872,SARAF,51669
ENSG00000133874,RNF122,79845
ENSG00000134013,LOXL2,4017
ENSG00000134014,ELP3,55140
ENSG00000134028,ADAMDEC1,27299
ENSG00000136573,BLK,640
ENSG00000137547,MRPL15,29088
ENSG00000137563,GGH,8836
ENSG00000137574,TGS1,96764
ENSG00000137575,SDCBP,6386
ENSG00000140396,NCOA2,10499
ENSG00000146904,EPHA1,2041
ENSG00000146909,NOM1,64434
ENSG00000146918,NCAPG2,54892
ENSG00000147316,MCPH1,79648
ENSG00000147324,MFHAS1,9258
ENSG00000147364,FBXO25,26260
ENSG00000147408,CSGALNACT1,55790
ENSG00000147416,ATP6V1B2,526
