Gene stable ID,Gene name,NCBI gene ID
ENSG00000000419,DPM1,8813
ENSG00000020256,ZFP64,55734
ENSG00000022277,RTF2,51507
ENSG00000025293,PHF20,51230
ENSG00000025772,TOMM34,10953
ENSG00000042062,RIPOR3,140876
ENSG00000053438,NNAT,4826
ENSG00000054793,ATP9A,10079
ENSG00000060491,OGFR,11054
ENSG00000061656,SPAG4,6676
ENSG00000062598,ELMO2,63916
ENSG00000064601,CTSA,5476
ENSG00000077984,CST7,8530
ENSG00000078699,CBFA2T2,9139
ENSG00000078747,ITCH,83737
ENSG00000078804,TP53INP2,58476
ENSG00000078814,MYH7B,57644
ENSG00000080189,SLC35C2,51006
ENSG00000080839,RBL1,5933
ENSG00000080845,DLGAP4,22839
ENSG00000087460,GNAS,2778
ENSG00000087586,AURKA,6790
ENSG00000087589,CASS4,57091
ENSG00000088298,EDEM2,55741
ENSG00000088298,EDEM2,111089941
ENSG00000088325,TPX2,22974
ENSG00000088356,PDRG1,81572
ENSG00000088766,CRLS1,54675
ENSG00000088812,ATRN,8455
ENSG00000088826,SMOX,54498
ENSG00000088827,SIGLEC1,6614
ENSG00000088854,C20orf194,25943
ENSG00000088888,MAVS,57506
ENSG00000088899,LZTS3,9762
ENSG00000088930,XRN2,22803
ENSG00000088970,KIZ,55857
ENSG00000089006,SNX5,27131
ENSG00000089048,ESF1,51575
ENSG00000089050,RBBP9,10741
ENSG00000089057,SLC23A2,9962
ENSG00000089063,TMEM230,29058
ENSG00000089123,TASP1,55617
ENSG00000089177,KIF16B,55614
ENSG00000089195,TRMT6,51605
ENSG00000092758,COL9A3,1299
ENSG00000100979,PLTP,5360
ENSG00000100982,PCIF1,63935
ENSG00000100983,GSS,2937
ENSG00000100985,MMP9,4318
ENSG00000100991,TRPC4AP,26133
ENSG00000100994,PYGB,5834
ENSG00000100997,ABHD12,26090
ENSG00000101000,PROCR,10544
ENSG00000101003,GINS1,9837
ENSG00000101017,CD40,958
ENSG00000101019,UQCC1,55245
ENSG00000101040,ZMYND8,23613
ENSG00000101052,IFT52,51098
ENSG00000101057,MYBL2,4605
ENSG00000101079,NDRG3,57446
ENSG00000101082,SLA2,84174
ENSG00000101084,RAB5IF,55969
ENSG00000101096,NFATC2,4773
ENSG00000101104,PABPC1L,80336
ENSG00000101109,STK4,6789
ENSG00000101126,ADNP,23394
ENSG00000101132,PFDN4,5203
ENSG00000101138,CSTF1,1477
ENSG00000101146,RAE1,8480
ENSG00000101150,TPD52L2,7165
ENSG00000101152,DNAJC5,80331
ENSG00000101158,NELFCD,51497
ENSG00000101160,CTSZ,1522
ENSG00000101161,PRPF6,24148
ENSG00000101162,TUBB1,81027
ENSG00000101166,PRELID3B,51012
ENSG00000101181,MTG2,26164
ENSG00000101182,PSMA7,5688
ENSG00000101187,SLCO4A1,28231
ENSG00000101188,NTSR1,4923
ENSG00000101189,MRGBP,55257
ENSG00000101190,TCFL5,10732
ENSG00000101191,DIDO1,11083
ENSG00000101193,GID8,54994
ENSG00000101194,SLC17A9,63910
ENSG00000101199,ARFGAP1,55738
ENSG00000101210,EEF1A2,1917
ENSG00000101213,PTK6,5753
ENSG00000101216,GMEB2,26205
ENSG00000101220,C20orf27,54976
ENSG00000101224,CDC25B,994
ENSG00000101236,RNF24,11237
ENSG00000101246,ARFRP1,10139
ENSG00000101247,NDUFAF5,79133
ENSG00000101265,RASSF2,9770
ENSG00000101290,CDS2,8760
ENSG00000101294,HM13,81502
ENSG00000101310,SEC23B,10483
ENSG00000101335,MYL9,10398
ENSG00000101336,HCK,3055
ENSG00000101337,TM9SF4,9777
ENSG00000101342,TLDC2,140711
ENSG00000101343,CRNKL1,51340
ENSG00000101346,POFUT1,23509
ENSG00000101347,SAMHD1,25939
ENSG00000101350,KIF3B,9371
ENSG00000101363,MANBAL,63905
ENSG00000101367,MAPRE1,22919
ENSG00000101384,JAG1,182
ENSG00000101391,CDK5RAP1,51654
ENSG00000101400,SNTA1,6640
ENSG00000101407,TTI1,9675
