Gene stable ID,Gene name,NCBI gene ID
ENSG00000002330,BAD,572
ENSG00000006534,ALDH3B1,221
ENSG00000011405,PIK3C2A,5286
ENSG00000013725,CD6,923
ENSG00000014138,POLA2,23649
ENSG00000014216,CAPN1,823
ENSG00000019485,PRDM11,56981
ENSG00000025434,NR1H3,10062
ENSG00000026508,CD44,960
ENSG00000030066,NUP160,23279
ENSG00000049449,RCN1,5954
ENSG00000050165,DKK3,27122
ENSG00000051009,FAM160A2,84067
ENSG00000052841,TTC17,55761
ENSG00000060749,QSER1,79832
ENSG00000066336,SPI1,6688
ENSG00000068831,RASGRP2,10235
ENSG00000068971,PPP2R5B,5526
ENSG00000068976,PYGM,5837
ENSG00000070081,NUCB2,4925
ENSG00000072518,MARK2,2011
ENSG00000072952,MRVI1,10335
ENSG00000074319,TSG101,7251
ENSG00000084207,GSTP1,2950
ENSG00000085063,CD59,966
ENSG00000085117,CD82,3732
ENSG00000085733,CTTN,2017
ENSG00000087365,SF3B2,10992
ENSG00000089597,GANAB,23193
ENSG00000109854,HTATIP2,10553
ENSG00000109881,CCDC34,91057
ENSG00000109911,ELP4,26610
ENSG00000109919,MTCH2,23788
ENSG00000109920,FNBP4,23360
ENSG00000110011,DNAJC4,3338
ENSG00000110025,SNX15,29907
ENSG00000110031,LPXN,9404
ENSG00000110042,DTX4,23220
ENSG00000110046,ATG2A,23130
ENSG00000110047,EHD1,10938
ENSG00000110048,OSBP,5007
ENSG00000110057,UNC93B1,81622
ENSG00000110066,KMT5B,51111
ENSG00000110075,PPP6R3,55291
ENSG00000110077,MS4A6A,64231
ENSG00000110079,MS4A4A,51338
ENSG00000110090,CPT1A,1374
ENSG00000110092,CCND1,595
ENSG00000110104,CCDC86,79080
ENSG00000110107,PRPF19,27339
ENSG00000110108,TMEM109,79073
ENSG00000110169,HPX,3263
ENSG00000110171,TRIM3,10612
ENSG00000110200,ANAPC15,25906
ENSG00000110315,RNF141,50862
ENSG00000110321,EIF4G2,1982
ENSG00000110422,HIPK3,10114
ENSG00000110429,FBXO3,26273
ENSG00000110435,PDHX,8050
ENSG00000110442,COMMD9,29099
ENSG00000110446,SLC15A3,51296
ENSG00000110448,CD5,921
ENSG00000110455,ACCS,84680
ENSG00000110492,MDK,4192
ENSG00000110497,AMBRA1,55626
ENSG00000110514,MADD,8567
ENSG00000110536,PTPMT1,114971
ENSG00000110583,NAA40,79829
ENSG00000110693,SOX6,55553
ENSG00000110696,C11orf58,10944
ENSG00000110697,PITPNM1,9600
ENSG00000110700,RPS13,6207
ENSG00000110711,AIP,9049
ENSG00000110717,NDUFS8,4728
ENSG00000110719,TCIRG1,10312
ENSG00000110721,CHKA,1119
ENSG00000110756,HPS5,11234
ENSG00000110768,GTF2H1,2965
ENSG00000121236,TRIM6,117854
ENSG00000121621,KIF18A,81930
ENSG00000121653,MAPK8IP1,9479
ENSG00000121671,CRY2,1408
ENSG00000121680,PEX16,9409
ENSG00000121691,CAT,847
ENSG00000123444,KBTBD4,55709
ENSG00000124920,MYRF,745
ENSG00000124942,AHNAK,79026
ENSG00000126391,FRMD8,83786
ENSG00000126432,PRDX5,25824
ENSG00000129083,COPB1,1315
ENSG00000129084,PSMA1,5682
ENSG00000129158,SERGEF,26297
ENSG00000129173,E2F8,79733
ENSG00000131626,PPFIA1,8500
ENSG00000132254,ARFIP2,23647
ENSG00000132256,TRIM5,85363
ENSG00000132259,CNGA4,1262
ENSG00000132274,TRIM22,10346
ENSG00000132275,RRP8,23378
ENSG00000132286,TIMM10B,26515
ENSG00000132740,IGHMBP2,3508
ENSG00000132744,ACY3,91703
ENSG00000132749,TESMIN,9633
ENSG00000133315,MACROD1,28992
ENSG00000133316,WDR74,54663
ENSG00000133317,LGALS12,85329
ENSG00000133318,RTN3,10313
ENSG00000133321,PLAAT4,5920
ENSG00000133789,SWAP70,23075
ENSG00000133794,ARNTL,406
ENSG00000133800,LYVE1,10894
ENSG00000133805,AMPD3,272
ENSG00000133812,SBF2,81846
ENSG00000133816,MICAL2,9645
ENSG00000133816,MICAL2,84953
ENSG00000133818,RRAS2,22800
ENSG00000133884,DPF2,5977
ENSG00000133895,MEN1,4221
ENSG00000134333,LDHA,3939
ENSG00000134571,MYBPC3,4607
ENSG00000134574,DDB2,1643
ENSG00000134575,ACP2,53
ENSG00000134780,DAGLA,747
ENSG00000134802,SLC43A3,29015
ENSG00000134809,TIMM10,26519
ENSG00000134824,FADS2,9415
ENSG00000134825,TMEM258,746
ENSG00000134827,TCN1,6947
ENSG00000135362,PRR5L,79899
ENSG00000135363,LMO2,4005
ENSG00000135365,PHF21A,51317
ENSG00000135372,NAT10,55226
ENSG00000135378,PRRG4,79056
ENSG00000135387,CAPRIN1,4076
ENSG00000137496,IL18BP,10068
ENSG00000137497,NUMA1,4926
ENSG00000137522,RNF121,55298
ENSG00000142186,SCYL1,57410
ENSG00000146670,CDCA5,113130
ENSG00000148925,BTBD10,84280
ENSG00000148926,ADM,133
ENSG00000148943,LIN7C,55327
ENSG00000148950,IMMP1L,196294
ENSG00000149016,TUT1,64852
ENSG00000149084,HSD17B12,51144
ENSG00000149089,APIP,51074
ENSG00000149091,DGKZ,8525
ENSG00000149100,EIF3M,10480
ENSG00000149115,TNKS1BP1,85456
ENSG00000149131,SERPING1,710
ENSG00000149136,SSRP1,6749
ENSG00000149150,SLC43A1,8501
ENSG00000149177,PTPRJ,5795
ENSG00000149179,C11orf49,79096
ENSG00000149182,ARFGAP2,84364
ENSG00000149187,CELF1,10658
ENSG00000149357,LAMTOR1,55004
ENSG00000149476,TKFC,26007
ENSG00000149480,MTA2,9219
ENSG00000149483,TMEM138,51524
ENSG00000149485,FADS1,3992
ENSG00000149489,ROM1,6094
ENSG00000149499,EML3,256364
ENSG00000149503,INCENP,3619
ENSG00000149516,MS4A3,932
ENSG00000149532,CPSF7,79869
ENSG00000149541,B3GAT3,26229
ENSG00000149716,LTO1,220064
ENSG00000149743,TRPT1,83707
ENSG00000149761,NUDT22,84304
ENSG00000149781,FERMT3,83706
ENSG00000149782,PLCB3,5331
ENSG00000149792,MRPL49,740
ENSG00000149798,CDC42EP2,10435
ENSG00000149806,FAU,2197
ENSG00000149809,TM7SF2,7108
ENSG00000149823,VPS51,738
ENSG00000151116,UEVLD,55293
ENSG00000151117,TMEM86A,144110
ENSG00000151348,EXT2,2132
ENSG00000152219,ARL14EP,120534
ENSG00000152270,PDE3B,5140
ENSG00000156575,PRG3,10394
ENSG00000156587,UBE2L6,9246
ENSG00000156599,ZDHHC5,25921
ENSG00000156603,MED19,219541
ENSG00000156738,MS4A1,931
ENSG00000157570,TSPAN18,90139
ENSG00000158042,MRPL17,63875
ENSG00000158483,FAM86C1,55199
ENSG00000162144,CYB561A3,220002
ENSG00000162148,PPP1R32,220004
ENSG00000162174,ASRGL1,80150
ENSG00000162188,GNG3,2785
ENSG00000162191,UBXN1,51035
ENSG00000162194,LBHD1,79081
ENSG00000162222,TTC9C,283237
ENSG00000162227,TAF6L,10629
ENSG00000162231,NXF1,10482
ENSG00000162236,STX5,6811
ENSG00000162241,SLC25A45,283130
ENSG00000162298,SYVN1,84447
ENSG00000162300,ZFPL1,7542
ENSG00000162302,RPS6KA4,8986
ENSG00000162337,LRP5,4041
ENSG00000162341,TPCN2,219931
ENSG00000165905,LARGE2,120071
ENSG00000165915,SLC39A13,91252
ENSG00000165916,PSMC3,5702
ENSG00000165917,RAPSN,5913
ENSG00000165923,AGBL2,79841
ENSG00000166016,ABTB2,25841
ENSG00000166181,API5,8539
ENSG00000166199,ALKBH3,221120
ENSG00000166311,SMPD1,6609
ENSG00000166313,APBB1,322
ENSG00000166326,TRIM44,54765
ENSG00000166333,ILK,3611
ENSG00000166337,TAF10,6881
ENSG00000166340,TPP1,1200
ENSG00000166341,DCHS1,8642
ENSG00000166352,C11orf74,119710
ENSG00000166387,PPFIBP2,8495
ENSG00000166394,CYB5R2,51700
ENSG00000166405,RIC3,79608
ENSG00000166436,TRIM66,9866
ENSG00000166441,RPL27A,6157
ENSG00000166452,AKIP1,56672
ENSG00000166471,TMEM41B,440026
ENSG00000166478,ZNF143,7702
ENSG00000166483,WEE1,7465
ENSG00000166689,PLEKHA7,144100
ENSG00000166788,SAAL1,113174
ENSG00000166793,YPEL4,219539
ENSG00000166801,FAM111A,63901
ENSG00000166889,PATL1,219988
ENSG00000166900,STX3,6809
ENSG00000166902,MRPL16,54948
ENSG00000166927,MS4A7,58475
ENSG00000166928,MS4A14,84689
ENSG00000167333,TRIM68,55128
ENSG00000167770,OTUB1,55611
ENSG00000167792,NDUFV1,4723
ENSG00000167797,CDK2AP2,10263
ENSG00000167799,NUDT8,254552
ENSG00000167985,SDHAF2,54949
ENSG00000167986,DDB1,1642
ENSG00000167987,VPS37C,55048
ENSG00000167992,VWCE,220001
ENSG00000167994,RAB3IL1,5866
ENSG00000167995,BEST1,7439
ENSG00000167996,FTH1,2495
ENSG00000168000,BSCL2,26580
ENSG00000168002,POLR2G,5436
ENSG00000168003,SLC3A2,6520
ENSG00000168005,SPINDOC,144097
ENSG00000168040,FADD,8772
ENSG00000168056,LTBP3,4054
ENSG00000168060,NAALADL1,10004
ENSG00000168061,SAC3D1,29901
ENSG00000168062,BATF2,116071
ENSG00000168066,SF1,7536
ENSG00000168067,MAP4K2,5871
ENSG00000168071,CCDC88B,283234
ENSG00000168439,STIP1,10963
ENSG00000168496,FEN1,2237
ENSG00000168569,TMEM223,79064
ENSG00000169519,METTL15,196074
ENSG00000170242,USP47,55031
ENSG00000170946,DNAJC24,120526
ENSG00000170955,CAVIN3,112464
ENSG00000171067,C11orf24,53838
ENSG00000171219,CDC42BPG,55561
ENSG00000172247,C1QTNF4,114900
ENSG00000172409,CLP1,10978
ENSG00000172500,FIBP,9158
ENSG00000172508,CARNS1,57571
ENSG00000172531,PPP1CA,5499
ENSG00000172543,CTSW,1521
ENSG00000172613,RAD9A,5883
ENSG00000172638,EFEMP2,30008
ENSG00000172663,TMEM134,80194
ENSG00000172725,CORO1B,57175
ENSG00000172732,MUS81,80198
ENSG00000172757,CFL1,1072
ENSG00000172830,SSH3,54961
ENSG00000172890,NADSYN1,55191
ENSG00000172893,DHCR7,1717
ENSG00000172922,RNASEH2C,84153
ENSG00000172932,ANKRD13D,338692
ENSG00000172977,KAT5,10524
