Gene stable ID,Gene name,NCBI gene ID
ENSG00000001497,LAS1L,81887
ENSG00000002586,CD99,4267
ENSG00000004961,HCCS,3052
ENSG00000005022,SLC25A5,292
ENSG00000005302,MSL3,10943
ENSG00000005889,ZFX,7543
ENSG00000005893,LAMP2,3920
ENSG00000006756,ARSD,414
ENSG00000006757,PNPLA4,8228
ENSG00000008056,SYN1,6853
ENSG00000008086,CDKL5,6792
ENSG00000009694,TENM1,10178
ENSG00000010404,IDS,3423
ENSG00000010671,BTK,695
ENSG00000012174,MBTPS2,51360
ENSG00000012211,PRICKLE3,4007
ENSG00000013619,MAMLD1,10046
ENSG00000015285,WAS,7454
ENSG00000017483,SLC38A5,92745
ENSG00000018610,CXorf56,63932
ENSG00000022267,FHL1,2273
ENSG00000025708,TYMP,1890
ENSG00000025770,NCAPH2,29781
ENSG00000029993,HMGB3,3149
ENSG00000044446,PHKA2,5256
ENSG00000046647,GEMIN8,54960
ENSG00000046651,OFD1,8481
ENSG00000047230,CTPS2,56474
ENSG00000047597,XK,7504
ENSG00000047634,SCML1,6322
ENSG00000047644,WWC3,55841
ENSG00000047648,ARHGAP6,395
ENSG00000049768,FOXP3,50943
ENSG00000049769,PPP1R3F,89801
ENSG00000056277,ZNF280C,55609
ENSG00000063587,ZNF275,10838
ENSG00000063601,MTMR1,8776
ENSG00000065923,SLC9A7,84679
ENSG00000067992,PDK3,5165
ENSG00000068308,OTUD5,55593
ENSG00000068323,TFE3,7030
ENSG00000068354,TBC1D25,4943
ENSG00000068366,ACSL4,2182
ENSG00000068394,GPKOW,27238
ENSG00000068400,GRIPAP1,56850
ENSG00000068438,FTSJ1,24140
ENSG00000069509,FUNDC1,139341
ENSG00000069535,MAOB,4129
ENSG00000072501,SMC1A,8243
ENSG00000072506,HSD17B10,3028
ENSG00000073150,PANX2,56666
ENSG00000073169,SELENOO,83642
ENSG00000073464,CLCN4,1183
ENSG00000073905,VDAC1P1,
ENSG00000076770,MBNL3,55796
ENSG00000077713,SLC25A43,203427
ENSG00000077721,UBE2A,7319
ENSG00000078061,ARAF,369
ENSG00000078589,P2RY10,27334
ENSG00000078596,ITM2A,9452
ENSG00000079974,RABL2B,11158
ENSG00000080561,MID2,11043
ENSG00000082458,DLG3,1741
ENSG00000083750,RRAGB,10325
ENSG00000085185,BCORL1,63035
ENSG00000085224,ATRX,546
ENSG00000086712,TXLNG,55787
ENSG00000086758,HUWE1,10075
ENSG00000087842,PIR,8544
ENSG00000089289,IGBP1,3476
ENSG00000089682,RBM41,55285
ENSG00000090776,EFNB1,1947
ENSG00000090889,KIF4A,24137
ENSG00000094631,HDAC6,10013
ENSG00000094841,UPRT,139596
ENSG00000100239,PPP6R2,9701
ENSG00000100241,SBF1,6305
ENSG00000100258,LMF2,91289
ENSG00000100288,CHKB,1120
ENSG00000100299,ARSA,410
ENSG00000100427,MLC1,23209
ENSG00000100429,HDAC10,83933
ENSG00000101811,CSTF2,1478
ENSG00000101842,VSIG1,340547
ENSG00000101843,PSMD10,5716
ENSG00000101844,ATG4A,115201
ENSG00000101846,STS,412
ENSG00000101849,TBL1X,6907
ENSG00000101856,PGRMC1,10857
ENSG00000101868,POLA1,5422
ENSG00000101882,NKAP,79576
ENSG00000101883,RHOXF1,158800
ENSG00000101888,NXT2,55916
ENSG00000101901,ALG13,79868
ENSG00000101911,PRPS2,5634
ENSG00000101916,TLR8,51311
ENSG00000101928,MOSPD1,56180
ENSG00000101935,AMMECR1,9949
ENSG00000101940,WDR13,64743
ENSG00000101945,SUV39H1,6839
ENSG00000101955,SRPX,8406
